File ID,Sequence ID,Sequence,Date,Time,Camera ID,Camera Make,Location,GPS,Temperature,Battery,SD Memory,Primary Species,Animal Count,Wild Boar Count,Bear Count,Human Count,Vehicle Count,File Path,TECHNICAL DETAILS >>>>>,Map URL,Detection Boxes,Detection Classes,Detection Confidences,Species Classes,Species Confidences,Alert Message
100001_1,100001,1,2020-08-14,10:10:02,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Wild Boar,8.0,8.0,0.0,0.0,0.0,../data/photos/Wild Boar/100001_1.jpg,,Unknown,"[[0.3025, 0.956, 0.05208, 0.02281], [0.4285, 0.8154, 0.145, 0.1445], [0.7636, 0.6481, 0.06845, 0.08531], [0.4347, 0.7394, 0.122, 0.1121], [0.5932, 0.7407, 0.1485, 0.164], [0.6832, 0.5952, 0.1039, 0.1243], [0.5602, 0.7956, 0.08978, 0.1345], [0.8492, 0.6283, 0.1507, 0.2073]]","['1', '1', '1', '1', '1', '1', '1', '1']","[0.176, 0.863, 0.888, 0.897, 0.916, 0.926, 0.931, 0.945]","['Wild Boar', 'Wild Boar', 'Wild Boar', 'Wild Boar', 'Wild Boar', 'Wild Boar', 'Wild Boar', 'Wild Boar']","[0.8105147480964661, 0.9820854067802429, 0.9913074374198914, 0.9337077736854553, 0.9917197227478027, 0.9861955642700195, 0.9832267165184021, 0.986828625202179]",ğŸš¨<b> 8 WILD BOARS DETECTED </b>ğŸš¨. . ğŸ•” Time: 10:10:02. ğŸŒ Location: Unknown. ğŸ“ <a href='Unknown'>Map Link</a>. --------------------. ğŸ§ Humans: 0. ğŸšœ Vehicles: 0. ğŸ— Wild Boars: 8 (81-99%). ğŸ» Bears: 0. ğŸ¦ŠğŸ¦ŒğŸ¦¡ğŸ¦‰Others: 0. ğŸ“· ID: 100001 | 2020-08-14. --------------------. Camera ID: Unknown; Brand: Unknown; Battery: Unknown%; Storage: Unknown%; Temperature: Unknownâ„ƒ; GPS: Unknown
100002_1,100002,1,2024-06-25,12:55:20,WILDBOAR02,Wilsus,Piscul Lat,"X: 25.01059634, Y: 45.326467, Z: 862m",,80,91,Bear,1.0,0.0,1.0,0.0,0.0,../data/photos/Bear/100002_1.jpg,,https://maps.app.goo.gl/3g6QH2rn6Qw7Aema6,"[[0.3911, 0.5125, 0.2994, 0.2361]]",['1'],[0.957],['Bear'],[0.9990407824516296],"ğŸš¨<b> 1 BEAR DETECTED </b>ğŸš¨. . ğŸ•” Time: 12:55:20. ğŸŒ Location: Piscul Lat. ğŸ“ <a href='https://maps.app.goo.gl/3g6QH2rn6Qw7Aema6'>Map Link</a>. --------------------. ğŸ§ Humans: 0. ğŸšœ Vehicles: 0. ğŸ— Wild Boars: 0. ğŸ» Bears: 1 (100%). ğŸ¦ŠğŸ¦ŒğŸ¦¡ğŸ¦‰Others: 0. ğŸ“· ID: 100002 | 2024-06-25. --------------------. Camera ID: WILDBOAR02; Brand: Wilsus; Battery: 80%; Storage: 91%; GPS: X: 25.01059634, Y: 45.326467, Z: 862m"
100002_2,100002,2,2024-06-25,12:55:20,WILDBOAR02,Wilsus,Piscul Lat,"X: 25.01059634, Y: 45.326467, Z: 862m",,80,91,Bear,1.0,0.0,1.0,0.0,0.0,../data/photos/Bear/100002_2.jpg,,https://maps.app.goo.gl/3g6QH2rn6Qw7Aema6,"[[0.8192, 0.4888, 0.1562, 0.1958]]",['1'],[0.912],['Bear'],[0.9996329545974731],"ğŸš¨<b> 1 BEAR DETECTED </b>ğŸš¨. . ğŸ•” Time: 12:55:20. ğŸŒ Location: Piscul Lat. ğŸ“ <a href='https://maps.app.goo.gl/3g6QH2rn6Qw7Aema6'>Map Link</a>. --------------------. ğŸ§ Humans: 0. ğŸšœ Vehicles: 0. ğŸ— Wild Boars: 0. ğŸ» Bears: 1 (100%). ğŸ¦ŠğŸ¦ŒğŸ¦¡ğŸ¦‰Others: 0. ğŸ“· ID: 100002 | 2024-06-25. --------------------. Camera ID: WILDBOAR02; Brand: Wilsus; Battery: 80%; Storage: 91%; GPS: X: 25.01059634, Y: 45.326467, Z: 862m"
100002_3,100002,3,2024-06-25,12:55:20,WILDBOAR02,Wilsus,Piscul Lat,"X: 25.01059634, Y: 45.326467, Z: 862m",,80,91,Empty,0.0,0.0,0.0,0.0,0.0,../data/photos/Empty/100002_3.jpg,,https://maps.app.goo.gl/3g6QH2rn6Qw7Aema6,[],[],[],[],[],"ğŸš¨<b> 1 BEAR DETECTED </b>ğŸš¨. . ğŸ•” Time: 12:55:20. ğŸŒ Location: Piscul Lat. ğŸ“ <a href='https://maps.app.goo.gl/3g6QH2rn6Qw7Aema6'>Map Link</a>. --------------------. ğŸ§ Humans: 0. ğŸšœ Vehicles: 0. ğŸ— Wild Boars: 0. ğŸ» Bears: 1 (100%). ğŸ¦ŠğŸ¦ŒğŸ¦¡ğŸ¦‰Others: 0. ğŸ“· ID: 100002 | 2024-06-25. --------------------. Camera ID: WILDBOAR02; Brand: Wilsus; Battery: 80%; Storage: 91%; GPS: X: 25.01059634, Y: 45.326467, Z: 862m"
100002_4,100002,4,2024-06-25,12:55:20,WILDBOAR02,Wilsus,Piscul Lat,"X: 25.01059634, Y: 45.326467, Z: 862m",,80,91,Empty,0.0,0.0,0.0,0.0,0.0,../data/photos/Empty/100002_4.jpg,,https://maps.app.goo.gl/3g6QH2rn6Qw7Aema6,[],[],[],[],[],"ğŸš¨<b> 1 BEAR DETECTED </b>ğŸš¨. . ğŸ•” Time: 12:55:20. ğŸŒ Location: Piscul Lat. ğŸ“ <a href='https://maps.app.goo.gl/3g6QH2rn6Qw7Aema6'>Map Link</a>. --------------------. ğŸ§ Humans: 0. ğŸšœ Vehicles: 0. ğŸ— Wild Boars: 0. ğŸ» Bears: 1 (100%). ğŸ¦ŠğŸ¦ŒğŸ¦¡ğŸ¦‰Others: 0. ğŸ“· ID: 100002 | 2024-06-25. --------------------. Camera ID: WILDBOAR02; Brand: Wilsus; Battery: 80%; Storage: 91%; GPS: X: 25.01059634, Y: 45.326467, Z: 862m"
100002_5,100002,5,2024-06-25,12:55:20,WILDBOAR02,Wilsus,Piscul Lat,"X: 25.01059634, Y: 45.326467, Z: 862m",,80,91,Empty,0.0,0.0,0.0,0.0,0.0,../data/photos/Empty/100002_5.jpg,,https://maps.app.goo.gl/3g6QH2rn6Qw7Aema6,[],[],[],[],[],"ğŸš¨<b> 1 BEAR DETECTED </b>ğŸš¨. . ğŸ•” Time: 12:55:20. ğŸŒ Location: Piscul Lat. ğŸ“ <a href='https://maps.app.goo.gl/3g6QH2rn6Qw7Aema6'>Map Link</a>. --------------------. ğŸ§ Humans: 0. ğŸšœ Vehicles: 0. ğŸ— Wild Boars: 0. ğŸ» Bears: 1 (100%). ğŸ¦ŠğŸ¦ŒğŸ¦¡ğŸ¦‰Others: 0. ğŸ“· ID: 100002 | 2024-06-25. --------------------. Camera ID: WILDBOAR02; Brand: Wilsus; Battery: 80%; Storage: 91%; GPS: X: 25.01059634, Y: 45.326467, Z: 862m"
100003_1,100003,1,2020-08-14,10:10:02,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Wild Boar,8.0,8.0,0.0,0.0,0.0,../data/photos/Wild Boar/100003_1.jpg,,Unknown,"[[0.3025, 0.956, 0.05208, 0.02281], [0.4285, 0.8154, 0.145, 0.1445], [0.7636, 0.6481, 0.06845, 0.08531], [0.4347, 0.7394, 0.122, 0.1121], [0.5932, 0.7407, 0.1485, 0.164], [0.6832, 0.5952, 0.1039, 0.1243], [0.5602, 0.7956, 0.08978, 0.1345], [0.8492, 0.6283, 0.1507, 0.2073]]","['1', '1', '1', '1', '1', '1', '1', '1']","[0.176, 0.863, 0.888, 0.897, 0.916, 0.926, 0.931, 0.945]","['Wild Boar', 'Wild Boar', 'Wild Boar', 'Wild Boar', 'Wild Boar', 'Wild Boar', 'Wild Boar', 'Wild Boar']","[0.8105147480964661, 0.9820854067802429, 0.9913074374198914, 0.9337077736854553, 0.9917197227478027, 0.9861955642700195, 0.9832267165184021, 0.986828625202179]",ğŸš¨<b> 8 WILD BOARS DETECTED </b>ğŸš¨. . ğŸ•” Time: 10:10:02. ğŸŒ Location: Unknown. ğŸ“ <a href='Unknown'>Map Link</a>. --------------------. ğŸ§ Humans: 0. ğŸšœ Vehicles: 0. ğŸ— Wild Boars: 8 (81-99%). ğŸ» Bears: 0. ğŸ¦ŠğŸ¦ŒğŸ¦¡ğŸ¦‰Others: 0. ğŸ“· ID: 100003 | 2020-08-14. --------------------. Camera ID: Unknown; Brand: Unknown; Battery: Unknown%; Storage: Unknown%; Temperature: Unknownâ„ƒ; GPS: Unknown
100004_1,100004,1,2024-06-25,17:02:16,WILDBOAR02,Wilsus,Piscul Lat,"X: 25.01059634, Y: 45.326467, Z: 862m",,80,91,Wild Boar,8.0,8.0,0.0,0.0,0.0,../data/photos/Wild Boar/100004_1.jpg,,https://maps.app.goo.gl/3g6QH2rn6Qw7Aema6,"[[0.3025, 0.956, 0.05208, 0.02281], [0.4283, 0.8151, 0.1453, 0.1448], [0.7636, 0.6481, 0.06845, 0.08531], [0.4347, 0.7394, 0.1222, 0.1121], [0.5932, 0.7407, 0.1485, 0.164], [0.6832, 0.5952, 0.1039, 0.1243], [0.5602, 0.7956, 0.08978, 0.1345], [0.8492, 0.6283, 0.1507, 0.2073]]","['1', '1', '1', '1', '1', '1', '1', '1']","[0.178, 0.863, 0.888, 0.897, 0.916, 0.926, 0.931, 0.945]","['Wild Boar', 'Wild Boar', 'Wild Boar', 'Wild Boar', 'Wild Boar', 'Wild Boar', 'Wild Boar', 'Wild Boar']","[0.8456481695175171, 0.9801291823387146, 0.9933570027351379, 0.9456945657730103, 0.9917370676994324, 0.9849944710731506, 0.9837765097618103, 0.9869433641433716]","ğŸš¨<b> 8 WILD BOARS DETECTED </b>ğŸš¨. . ğŸ•” Time: 17:02:16. ğŸŒ Location: Piscul Lat. ğŸ“ <a href='https://maps.app.goo.gl/3g6QH2rn6Qw7Aema6'>Map Link</a>. --------------------. ğŸ§ Humans: 0. ğŸšœ Vehicles: 0. ğŸ— Wild Boars: 8 (85-99%). ğŸ» Bears: 0. ğŸ¦ŠğŸ¦ŒğŸ¦¡ğŸ¦‰Others: 0. ğŸ“· ID: 100004 | 2024-06-25. --------------------. Camera ID: WILDBOAR02; Brand: Wilsus; Battery: 80%; Storage: 91%; GPS: X: 25.01059634, Y: 45.326467, Z: 862m"
100005_1,100005,1,2024-06-26,08:18:25,WILDBOAR02,Wilsus,Piscul Lat,"X: 25.01059634, Y: 45.326467, Z: 862m",,80,91,Bear,1.0,0.0,1.0,0.0,0.0,../data/photos/Bear/100005_1.jpg,,https://maps.app.goo.gl/3g6QH2rn6Qw7Aema6,"[[0.7067, 0.5388, 0.2052, 0.1611]]",['1'],[0.947],['Bear'],[0.9972883462905884],"ğŸš¨<b> 1 BEAR DETECTED </b>ğŸš¨. . ğŸ•” Time: 08:18:25. ğŸŒ Location: Piscul Lat. ğŸ“ <a href='https://maps.app.goo.gl/3g6QH2rn6Qw7Aema6'>Map Link</a>. --------------------. ğŸ§ Humans: 0. ğŸšœ Vehicles: 0. ğŸ— Wild Boars: 0. ğŸ» Bears: 1 (100%). ğŸ¦ŠğŸ¦ŒğŸ¦¡ğŸ¦‰Others: 0. ğŸ“· ID: 100005 | 2024-06-26. --------------------. Camera ID: WILDBOAR02; Brand: Wilsus; Battery: 80%; Storage: 91%; GPS: X: 25.01059634, Y: 45.326467, Z: 862m"
100005_2,100005,2,2024-06-26,08:18:25,WILDBOAR02,Wilsus,Piscul Lat,"X: 25.01059634, Y: 45.326467, Z: 862m",,80,91,Bear,1.0,0.0,1.0,0.0,0.0,../data/photos/Bear/100005_2.jpg,,https://maps.app.goo.gl/3g6QH2rn6Qw7Aema6,"[[0.5749, 0.5444, 0.1942, 0.1749]]",['1'],[0.938],['Bear'],[0.9974017143249512],"ğŸš¨<b> 1 BEAR DETECTED </b>ğŸš¨. . ğŸ•” Time: 08:18:25. ğŸŒ Location: Piscul Lat. ğŸ“ <a href='https://maps.app.goo.gl/3g6QH2rn6Qw7Aema6'>Map Link</a>. --------------------. ğŸ§ Humans: 0. ğŸšœ Vehicles: 0. ğŸ— Wild Boars: 0. ğŸ» Bears: 1 (100%). ğŸ¦ŠğŸ¦ŒğŸ¦¡ğŸ¦‰Others: 0. ğŸ“· ID: 100005 | 2024-06-26. --------------------. Camera ID: WILDBOAR02; Brand: Wilsus; Battery: 80%; Storage: 91%; GPS: X: 25.01059634, Y: 45.326467, Z: 862m"
100005_3,100005,3,2024-06-26,08:18:25,WILDBOAR02,Wilsus,Piscul Lat,"X: 25.01059634, Y: 45.326467, Z: 862m",,80,91,Bear,1.0,0.0,1.0,0.0,0.0,../data/photos/Bear/100005_3.jpg,,https://maps.app.goo.gl/3g6QH2rn6Qw7Aema6,"[[0.4197, 0.5611, 0.251, 0.1861]]",['1'],[0.936],['Bear'],[0.9987263083457947],"ğŸš¨<b> 1 BEAR DETECTED </b>ğŸš¨. . ğŸ•” Time: 08:18:25. ğŸŒ Location: Piscul Lat. ğŸ“ <a href='https://maps.app.goo.gl/3g6QH2rn6Qw7Aema6'>Map Link</a>. --------------------. ğŸ§ Humans: 0. ğŸšœ Vehicles: 0. ğŸ— Wild Boars: 0. ğŸ» Bears: 1 (100%). ğŸ¦ŠğŸ¦ŒğŸ¦¡ğŸ¦‰Others: 0. ğŸ“· ID: 100005 | 2024-06-26. --------------------. Camera ID: WILDBOAR02; Brand: Wilsus; Battery: 80%; Storage: 91%; GPS: X: 25.01059634, Y: 45.326467, Z: 862m"
100005_4,100005,4,2024-06-26,08:18:25,WILDBOAR02,Wilsus,Piscul Lat,"X: 25.01059634, Y: 45.326467, Z: 862m",,80,91,Bear,1.0,0.0,1.0,0.0,0.0,../data/photos/Bear/100005_4.jpg,,https://maps.app.goo.gl/3g6QH2rn6Qw7Aema6,"[[0.2562, 0.5666, 0.2598, 0.1895]]",['1'],[0.943],['Bear'],[0.9988664388656616],"ğŸš¨<b> 1 BEAR DETECTED </b>ğŸš¨. . ğŸ•” Time: 08:18:25. ğŸŒ Location: Piscul Lat. ğŸ“ <a href='https://maps.app.goo.gl/3g6QH2rn6Qw7Aema6'>Map Link</a>. --------------------. ğŸ§ Humans: 0. ğŸšœ Vehicles: 0. ğŸ— Wild Boars: 0. ğŸ» Bears: 1 (100%). ğŸ¦ŠğŸ¦ŒğŸ¦¡ğŸ¦‰Others: 0. ğŸ“· ID: 100005 | 2024-06-26. --------------------. Camera ID: WILDBOAR02; Brand: Wilsus; Battery: 80%; Storage: 91%; GPS: X: 25.01059634, Y: 45.326467, Z: 862m"
100005_5,100005,5,2024-06-26,08:18:25,WILDBOAR02,Wilsus,Piscul Lat,"X: 25.01059634, Y: 45.326467, Z: 862m",,80,91,Bear,1.0,0.0,1.0,0.0,0.0,../data/photos/Bear/100005_5.jpg,,https://maps.app.goo.gl/3g6QH2rn6Qw7Aema6,"[[0.05885, 0.5833, 0.314, 0.2347]]",['1'],[0.952],['Bear'],[0.9984996318817139],"ğŸš¨<b> 1 BEAR DETECTED </b>ğŸš¨. . ğŸ•” Time: 08:18:25. ğŸŒ Location: Piscul Lat. ğŸ“ <a href='https://maps.app.goo.gl/3g6QH2rn6Qw7Aema6'>Map Link</a>. --------------------. ğŸ§ Humans: 0. ğŸšœ Vehicles: 0. ğŸ— Wild Boars: 0. ğŸ» Bears: 1 (100%). ğŸ¦ŠğŸ¦ŒğŸ¦¡ğŸ¦‰Others: 0. ğŸ“· ID: 100005 | 2024-06-26. --------------------. Camera ID: WILDBOAR02; Brand: Wilsus; Battery: 80%; Storage: 91%; GPS: X: 25.01059634, Y: 45.326467, Z: 862m"
